user_id,text_duplicate,final
1.0777895334738575e+18,"@TrumpWarRoom Here you go with the ratings again. Why don't you talk about how you were briefed in January about the Coronavirus and you chose to ignore it because money, your re-election, and your ratings meant more to you than Humanity❗
#HumanityBeforePolitics https://t.co/nJoHCLPGhK",go the rating dont talk briefed january the coronavirus chose to ignore money your reelection your rating meant to humanity humanitybeforepolitics
8.348309847469834e+17,"Dr. Mercola discusses if Licorice Inhibits Replication of Coronavirus:
 https://t.co/9Tofs0Wf2E
#coronavirus #COVID19 #GoodFriday2020 #naturalhealing  #indigobodymassageandortho ✋",dr mercola discus licorice inhibits replication coronavirus coronavirus covid19 goodfriday2020 naturalhealing indigobodymassageandortho
1634499846.0,New York needs federal help with widespread coronavirus testing if state is to reopen https://t.co/O6LTFWcvlw via @nypmetro w/ @juliakmarsh,new york need federal help widespread coronavirus test state to reopen via w
322855902.0,"I pray that Athiests convert, after this pandemic ends. #COVID__19 #God #Catholic",pray athiests convert pandemic end covid19 god catholic
1.227611393123328e+18,"@WayneDupreeShow Might that be because everyone that is dying with A diagnosis of coronavirus, despite having other diagnoses are counted as Coronavirus victims?",might everyone die diagnosis coronavirus despite diagnosis count coronavirus victim
27222519.0,"Pandemic biking #stayhome #quedateencasa #coronavirus #dontgoout #nosalgasdecasa @ Hunters Creek, Florida https://t.co/sY46jwXOba",pandemic biking stayhome quedateencasa coronavirus dontgoout nosalgasdecasa hunter creek florida
7.216918186735084e+17,"@mizdonna Each year, at least 1.7 million adults in America develop sepsis and nearly 270,000 die as a result. The number of sepsis cases per year has been on the rise in the United States...Sepsis develops from a variety of viruses, and those viruses are likely to  https://t.co/u4sfcA2mu5",year at least 17 million adult america develop sepsis nearly 270000 die result the number sepsis case per year the rise the united statessepsis develops from variety virus virus likely to
4821990381.0,Covid-19 is the grossed think that happened to humans these last couple years... it stands right after Armpit hair trend and Louis CK being involved in #MeToo movement... wtf,covid19 the gross think happen to human last couple year stand right armpit hair trend louis ck involve metoo movement wtf
48924617.0,The path to hell is paved with good intentions. #goatyoga with Sarah 2yrs ago. It’s the most anti #covid activity I can imagine. Cling to #hope. We shall goat yoga again! @ Goats and Yoga https://t.co/uDLyNnu4dJ,the path to hell pave good intention goatyoga sarah 2yrs ago  the anti covid activity imagine cling to hope shall goat yoga goat yoga
1.0723348645847654e+18,Wisconsin reports 128 coronavirus deaths as expected peak approaches https://t.co/4ZRiJMkMB2,wisconsin report 128 coronavirus death expect peak approach
288517011.0,Time to curl up with that glass of wine 🍷 or that cup of ☕️ &amp; catch up on the latest #WeekendReading 📚on @MsMagazine featuring commentary from @BarbaraLeeSays @KatherineJWu @onGender &amp; news from @VoteRunLead @SheShouldRun @runningstart &amp; @AU_WPI https://t.co/ue9SbLdTqH,time to curl glass wine cup amp catch the late weekendreading feature commentary from amp news from amp
15141586.0,@julie_eib Median age of covid 19 deaths is 86 (but) life expectancy is 79 (therefore) open businesses 🤔🤷🏻‍♂️ kind of hard to misconstrue?,median age covid 19 death 86 life expectancy 79 therefore open business ‍ kind hard to misconstrue
21149402.0,"@elpasotxcovid19 @BobMooreNews We’ve done reporting on the Horizon Halfway house. Bob has reported fairly extensively on what he’s been able to extract from CBP. In particular, the Otero Dention Center. 

https://t.co/aYeNgkxRfc",do reporting the horizon halfway house bob report fairly extensively  able to extract from cbp particular the otero dention center
8479062.0,"What’s one way to get Americans to use Covid-19 contact-tracing apps?

Well, we could pay them. People have done a lot dumber stuff for $5 a month. https://t.co/7ySJBtpfSJ",one way to get american to use covid19 contacttracing apps well could pay people do lot dumber stuff 5 month
