user_id,text_duplicate,final
32232449.0,Another 30! #socialdistancing #coronavirus #covid19,another 30 socialdistancing coronavirus covid19
95928470.0,jesus died so millennials could post thirst trap selfies wearing masks during Coronavirus,jesus die millennials could post thirst trap selfies wear mask coronavirus
7.045208814232535e+17,Fox News is spreading Trump's coronavirus lies faster than the disease i... https://t.co/XxsmK6YwTA via @YouTube,fox news spread trump coronavirus lie faster the disease via
17464780.0,"As coronavirus death toll rises, Trump cheers his TV ratings and taunts the ‘lamestream media’ https://t.co/4ouPTzkhjD",coronavirus death toll rise trump cheer tv rating taunt the ‘ lamestream medium
160304538.0,"I don't know who needs to hear this, but #coronavirus is not, in fact, a ""Democrat hoax!""",dont know need to hear coronavirus fact democrat hoax
3070247424.0,"Fareed Zakaria: Trump's claim turned out to be a cruel hoax
Trump's entire Presidency is a
😠 CRUEL HOAX 😠

https://t.co/VCrvPpAmzk",fareed zakaria trump claim turn out to cruel hoax trump entire presidency cruel hoax
1120834327.0,"Update 14: There are now over 1,100 people who have tested positive in Wisconsin for coronavirus. There are no new deaths reported, at least by the state Department of Health Services. The most people with it continue to be in Dane and Milwaukee counties.",update 14 1100 people test positive wisconsin coronavirus no new death report at least the state department health service the people continue to dane milwaukee county
2179951.0,"The Kay Bailey Hutchinson Convention Center in Dallas, Texas, will be the first alternative location in the state to care for coronavirus patients, although it is currently not needed, Gov. Greg Abbott said at a press conference Sunday.

https://t.co/mDrauhhi2l",the kay bailey hutchinson convention center dallas texas the first alternative location the state to care coronavirus patient although currently need gov greg abbott say at press conference sunday
22408532.0,"Now THIS I had on my bingo card 😒. Shoulda stuck with @libertyuonline...

@LibertyU 
@LibertyUAlum

https://t.co/bbY2WHmfQp",bingo card shoulda stuck
2949674519.0,"""It’s just a testament to drag’s resilience, and ability to adapt to change, even in deeply uncertain times."" Oh my gosh I love this. By @alimkheraj: https://t.co/N2gNBgO52b via @gqmagazine",testament to drag  resilience ability to adapt to change even deeply uncertain time oh gosh love via
27308242.0,Care to explain why #Missouri is so behind @GovParsonMO @MoDemParty @MoGov @MOLegDems @calebrowden #MO04 #moleg #coronavirus https://t.co/bifKbHTTRx,care to explain missouri behind mo04 moleg coronavirus
34171476.0,"@iFredLee Over the past several weeks, too host and personalities downplayed concerns about the virus, baselessly accusing credible news organization of overhyping the crisis to hurt Trump politically. They also cited wrongful death tolls. https://t.co/L3uuTbYb6W",the past several week host personality downplayed concern the virus baselessly accuse credible news organization overhyping the crisis to hurt trump politically also cite wrongful death toll
34171476.0,"@iFredLee The CDC recommends self quarantine if you have a medium or high risk of having to recently contracting the Coronavirus. Exposures include overseas travel, being intimate with or surrounded by someone who has been officially infected. Also, I blame the media mishandling of this.",the cdc recommends self quarantine medium high risk to recently contract the coronavirus exposure include overseas travel intimate surround someone officially infect also blame the medium mishandle
17780274.0,"Dr. Anthony Fauci says US could see more than 100,000 coronavirus-related deaths  https://t.co/FmQF9Ei59K",dr anthony fauci say u could see 100000 coronavirusrelated death
181634028.0,totally gave @ArbraEden coronavirus today when i hugged her twice but it's cool. she's strong,totally give coronavirus today hug twice cool shes strong
8888.0,"Apparently, what we’ve lost in physical intimacy due to #coronavirus, we’ve gained in having a deeper understanding of what our friends have stocked in their liquor cabinets and pantries.",apparently  lose physical intimacy due to coronavirus  gain deeper understand friend stock liquor cabinet pantry
33693467.0,Anyone who thinks that MGK Misery Business cover is good deserves to have the coronavirus,anyone think mgk misery business cover good deserves to the coronavirus
1.0160798280243732e+18,"Dear American Christians, we don't need a church building to celebrate Easter. Think of the Christians in Muslim countries who would be put to death if they publicly celebrated Easter before you complain about the church being closed. 🕍🙏#Covid_19 #coronavirus #CoronaLockdown",dear american christian dont need church building to celebrate easter think the christian muslim country would put to death publicly celebrate easter complain the church close covid19 coronavirus coronalockdown
164416840.0,#coronavirus : Trump extends restrictions beyond Easter as United States overtakes both #China and #Italy last week for the number of reported #COVIDー19 cases https://t.co/7wzUSmcVvj,coronavirus trump extends restriction beyond easter united state overtakes china italy last week the number report covid19 case
164416840.0,"#health insurance companies #Cigna ⁦@Cigna⁩ &amp; #Humana ⁦@Humana⁩ waive coronavirus treatment costs including #hospital &amp; ambulance transfers, for their insured members and employer plans plus future #vaccine costs - from @CNBC  https://t.co/Fruv5TZiAy",health insurance company cigna ⁦⁩ amp humana ⁦⁩ waive coronavirus treatment cost include hospital amp ambulance transfer insured member employer plan plus future vaccine cost from
331929303.0,"Social distancing guidelines should include a new #president !
#DumpTrump #COVIDIOT #coronavirus #SocialDistancing #StayAtHome #cnn #BreakingNews",social distance guideline include new president dumptrump covidiot coronavirus socialdistancing stayathome cnn breakingnews
314351822.0,LA teen whose death is linked to Coronavirus was denied urgent care because he didn’t have insurance https://t.co/z0Y9StUDME,la teen whose death link to coronavirus deny urgent care  insurance
68293108.0,"@ZekeWsdad @atingwald @JacobWindrix @RSaresky @RealCandaceO What, giving them hope? Please go look at statistics yourself and stop listening to #msm. Also I care for elderly British war born parents, homes were bombed, they want to live their lives, safely, but the panic is boggling their minds!
#coronavirus",give hope please go look at statistic stop listen to msm also care elderly british war born parent home bombed want to live life safely the panic boggling mind coronavirus
68293108.0,"@JacobWindrix @atingwald @ZekeWsdad @RSaresky @RealCandaceO Okay, Mr. Cartoon with 69 followers, who listens to the #msm instead of doing his own research! Get off your video games for a few and study!!
#coronavirus",okay mr cartoon 69 follower listens to the msm instead research get your video game study coronavirus
302760900.0,When do think we will be ok to love aroundlike normal? #coronavirus,do think ok to love aroundlike normal coronavirus
2577001194.0,"Right now on the Louisiana/Texas border! Effective Noon on Monday, personal travel from Louisiana must quarantine. .@KSLA #coronavirus #news #TV https://t.co/Dz2sYPLuKa",right the louisianatexas border effective noon monday personal travel from louisiana must quarantine coronavirus news tv
410372521.0,"Constitution for thee but not me. Gov Cuomo deftly identifies Pres Trump cannot impose a quarantine, ignoring Cuomo's impingements. Incorporation must not protect rights his myriad restrictions offend in his mind. #COVID19 #coronavirus #coronavirusNewYork https://t.co/uqwHtAbDxV",constitution thee gov cuomo deftly identifies pres trump impose quarantine ignore cuomos impingement incorporation must protect right myriad restriction offend mind covid19 coronavirus coronavirusnewyork
